x,y
6217171.997,2031796.494
6254605.011,1838365.01
6237042.626,2055358.472
6278965.442,1852366.957
6262706.98,1831519.045
6336635.928,1871701.655
6161853.975,2099457.488
6321487.27,1930368.732
6218904.255,2053607.039
6295388.651,1901306.728
6240009.613,2005565.672
6298647.441,1874564.831
6299861.252,1895295.185
6336243.308,1871729.128
6271242.631,1851739.922
6291372.537,1831012.947
6253703.985,1991364.961
6299167.499,1874455.505
6291923.5,1848361.997
6308942.934,1821960.479
6303598.37,1987343.437
6374902.346,1927499.206
6298097.275,1877631.295
6255318.086,1831931.655
6256423.246,1837516.004
6306217.08,1858146.106
6264031.922,1979517.138
6302145.495,1796582.003
6297009.604,1876337.014
6296987.6,1916264.259
6308185.933,1971389.634
6374980.487,1927546.019
6499728.248,1879740.419
6336180.099,1871763.913
6298374.897,1876663.379
6298132.745,1877704.225
6225671.76,2008273.668
6261369.96,2022982.035
6298206.368,1874982.027
6300230.475,1864628.831
6250205.738,1962578.757
6275757.013,1921503.957
6298382.552,1874695.092
6339465.558,1819989.883
6310837.567,1995308.547
6297757.481,1875500.467
6298388.224,1876740.989
6537596.468,1850704.215
6336609.224,1871633.989
6598113,1993290
6255505.976,1831836.499
6246421.976,1964625.501
6256798.444,1834064.969
6342859.999,1857096.956
6268346.053,1996537.135
6260892.119,1847434.541
6234452.936,2070213.074
6248741.797,2082256.547
6291234.331,1830072.878
6255689.219,1830330.522
6264741.41,1869738.346
6232300.263,2030496.774
6306736.851,2027485.177
6258324.173,1898606.697
6168781.691,2098866.865
6271586.274,1982081.032
6213566.251,2027410.9
6271542.635,1852007.981
6352221.778,1892708.415
6297386.187,1876984.148
6203069.663,2037942.279
6269549.364,1869894.26
6342392.303,1844936.182
6257868.734,1830205.727
6207017.952,2077514.015
6299156.114,1874376.131
6376245.319,1924873.021
6256423.338,1837424.746
6298539.588,1877684.652
6336132.742,1823757.104
6296960.341,1876399.995
6253611.942,1991364.502
6322872.934,1799255.503
6161694.823,2099950.911
6252608.549,2079996.321
6256513.591,1836226.11
6251064.513,1962594.076
6240982.595,2073291.155
6272961.798,2084504.025
6405627.014,2004826.697
6298409.164,1877283.391
6259106.387,2014019.825
6493882.597,1816850.399
6331044.806,1880504.142
6291092,1832477
6479304.485,1837634.023
6161753.422,2100503.429
6278547.312,1851815.888
6296731.775,1917100.018
6243006.644,1996231.558
6215647.975,2073929.264
6234094.862,2070223.347
6274614.121,1852163.158
6317867.392,1953052.124
6177418.03,2088871.552
6264302.202,1870028.281
6298242.5,1875052.997
6291092.5,1832573.003
6251073.272,1962533.725
6293822.023,2005011.499
6209407.205,2071965.686
6296938.963,1877078.097
6173202.464,2090437.688
6297466.166,1876973.719
6428277.258,1889733.771
6245577,1958370.001
6377670.583,1975927.548
6239350.895,1968645.802
6264015.477,1871679.122
6234495.122,2077139.523
6213812.677,2027513.679
6296160.73,1891844.106
6258655.889,2013512.879
6342313.105,1845085.063
6373401.956,1926859.665
6256496.932,2078062.439
6306650.04,1857000.581
6215613.498,2073947.998
6263330.316,1849955.2
6266603.442,2021102.119
6248496.438,1986715.932
6214747.038,2026743.986
6243307.471,2072593.157
6231270.619,2030524.871
6342110.298,1845351.371
6545275.765,1821984.156
6298397.886,1876955.948
6230919.883,2003522.294
6274484.111,1831813.71
6288672.981,1809425.959
6413839.474,1883161.124
6170456.103,2100438.998
6240424.796,2078998.611
6265269.613,2018128.818
6401724.388,2010504.123
6322892.353,1852512.464
6173232.988,2090093.595
6541858.765,1824539.043
6255477.558,1943423.165
6202418.636,2038940.37
6401664.789,2010421.137
6298706.146,1874622.944
6327016.533,1810246.511
6173639.999,2090409.493
6334457.111,1839834.98
6353172.304,1879064.006
6354428.094,1879154
6360504.472,1875625.42
6301456.609,1973290.806
6303961.839,1974996.123
6251486.235,1926231.221
6276852.4,1935543.526
6273851.405,1938564.405
6373356.183,1876797.467
6522290.878,2036071.51
6275337.904,1938453.247
6271027.801,2074707.901
6267656.902,1988647.084
6283296.69,2079282.704
6359698.629,1875083.925
6373585.366,1876834.944
6318718.633,1979037.662
6321507.459,1978641.735
6362350.447,1866952.003
6354673.398,1880340.998
6503065.141,1903379.616
6255338.978,2082468.513
6352921.891,1880256
6354808.717,1879149.995
6352194.437,1880260.003
6353302.434,1880253.003
6353803.652,1879059.001
6353010.492,1880354.877
6360045.999,1865358.733
6354194.702,1879056
6273067.25,2072066.531
6325161.039,2030347.999
6301922.164,1972925.819
6263130.002,2079382.522
6283071,1858232.99
6290389.49,2000071.564
6414987.51,1861416.436
6220429.705,2065845.196
6325060.96,2030352.002
6533916.582,1812779.042
6554607.295,1815373.295
6173402.8,2090137.482
6177712.611,2088202.169
6343255.821,1844426.873
6184591.787,2083595.128
6220172.088,2032119.318
6359917.615,1899667.672
6300644.725,1849560.864
6354430.356,1880241.647
6251298.732,2043656.303
6255917,1831860
6354377.809,1952459.686
6159418.886,2099186.717
6257573.278,1830526.81
6240336.283,2073415.686
6297390.595,1883366.203
6151791.324,2090121.403
6255674.179,1971842.384
6248338.417,2077584.424
6262645.933,1908893.943
6258158.089,2024474.481
6277360.491,1859435.516
6269836.996,1979631.878
6255640.517,1833173.803
